id,nom_fichier,titre,auteur,annee,sujets
8454,"Actes et Paroles, Volume 3.txt","Actes et Paroles, Volume 3","Hugo, Victor, 1802-1885",2005,"France -- Politics and government -- 1789-1900; Hugo, Victor, 1802-1885"
8561,Une page d'amour.txt,Une page d'amour,"Zola, Émile, 1840-1902",2005,France -- Social life and customs -- 19th century -- Fiction; Women -- Psychology -- Fiction
8563,La Terre.txt,La Terre,"Zola, Émile, 1840-1902",2005,"Inheritance and succession -- Fiction; France -- History -- Second Empire, 1852-1870 -- Fiction; Peasants -- France -- Fiction; France -- Social conditions -- Fiction"
8650,Monsieur Lecoq — Volume 1.txt,Monsieur Lecoq — Volume 1 L'enquête,"Gaboriau, Emile, 1832-1873",2008,"Detective and mystery stories; French fiction -- 19th century; Lecoq, Monsieur (Fictitious character) -- Fiction"
8693,Le Capitaine Aréna — Tome 1.txt,Le Capitaine Aréna — Tome 1,"Dumas, Alexandre, 1802-1870",2005,Sicily (Italy) -- Description and travel; Lipari Islands (Italy) -- Description and travel
8692,Le Capitaine Aréna — Tome 2.txt,Le Capitaine Aréna — Tome 2,"Dumas, Alexandre, 1802-1870",2005,Sicily (Italy) -- Description and travel; Lipari Islands (Italy) -- Description and travel
8712,La Conquête de Plassans.txt,La Conquête de Plassans,"Zola, Émile, 1840-1902",2005,"France -- Social life and customs -- 19th century -- Fiction; Clergy -- France -- Fiction; France -- History -- Second Empire, 1852-1870 -- Fiction; Insanity (Law) -- France -- Fiction; Psychiatric hospitals -- France -- Fiction; Confessors -- France -- Fiction; Christian life -- France -- Fiction; Priests -- France -- Fiction"
8822,Les grands orateurs de la Révolution.txt,"Les grands orateurs de la Révolution Mirabeau, Vergniaud, Danton, Robespierre","Aulard, F.-A. (François-Alphonse), 1849-1928",2005,"Robespierre, Maximilien, 1758-1794; France -- History -- Revolution, 1789-1799 -- Biography; Mirabeau, Victor de Riquetti, marquis de, 1715-1789; Vergniaud, Pierre-Victurnien, 1753-1793; Danton, Georges Jacques, 1759-1794; Orators -- France -- 18th century -- Biography"
8739,Thermidor d'après les sources originales et les documents authentiques.txt,Thermidor: d'après les sources originales et les documents authentiques,"Hamel, Ernest, 1826-1898",2005,"France -- History -- Revolution, 1789-1799; Robespierre, Maximilien, 1758-1794"
8719,Monsieur Lecoq — Volume2.txt,Monsieur Lecoq — Volume2 L'honneur du nom,"Gaboriau, Emile, 1832-1873",2008,"Detective and mystery stories; French fiction -- 19th century; Lecoq, Monsieur (Fictitious character) -- Fiction"
8863,Le Speronare.txt,Le Speronare,"Dumas, Alexandre, 1802-1870",2005,Italy -- Description and travel; Sicily (Italy) -- Description and travel
8864,Mémoires secrets de Fournier l'Américain.txt,Mémoires secrets de Fournier l'Américain,"Fournier, Claude, 1745-1825; Aulard, F.-A. (François-Alphonse), 1849-1928 [Annotator]",2005,"France -- History -- Revolution, 1789-1799 -- Personal narratives; Fournier, Claude, 1745-1825"
8876,Ma captivité en Abyssinie ...sous l'empereur Théodoros.txt,Ma captivité en Abyssinie ...sous l'empereur Théodoros,"Blanc, Henry, 1831-1911",2005,"Theodore II, Negus of Ethiopia, -1868; Ethiopia -- History -- 1490-1889; Abyssinian Expedition (1867-1868)"
9053,Poésies du troubadour Peire Raimon de Toulouse Texte et traduction.txt,Poésies du troubadour Peire Raimon de Toulouse: Texte et traduction,"Peire Raimon, of Toulouse, 1180?-1225?; Anglade, Joseph, 1868-1930 [Translator]",2005,"Troubadours; Peire Raimon, of Toulouse, approximately 1180-approximately 1225; Provençal poetry -- Translations into French"
8946,Le Côté de Guermantes - Première partie.txt,Le Côté de Guermantes - Première partie,"Proust, Marcel, 1871-1922",2004,Autobiographical fiction; France -- Social life and customs -- Fiction
